道路名称,路龄,车道面积,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,当年pci,道路属性,年份,道路名称2
2009,1,20521.9,0,0,0,0,87.65,89.85,主干路,2022,惠新东街
2010,1,45337.21212,0,0,0,0,88.38,86.96,主干路,2022,G1辅路（京沈高速右辅路）
2011,1,45337.21212,0,0,0,0,82.77,87.18,主干路,2022,G1辅路（京沈高速左辅路）
2012,1,112080,0,0,0,0,88.18,95.27,次干路,2022,长青路
2013,1,118955,0,0,0,0,94.27,94.15,主干路,2022,四环路内环辅路
2014,1,118955,0,0,0,0,96.12,92.36,主干路,2022,四环路外环辅路
2015,1,90620,0,0,0,0,82.23,93.48,主干路,2022,中关村南大街
2016,1,66248,0,0,0,0,92.5,99.08,主干路,2022,永定门内大街
2017,1,59296,0,0,0,0,96.84,88.68,主干路,2022,永定门外大街
2018,1,31549,0,0,0,0,92.98,98,主干路,2022,南新华街
2019,1,21006,0,0,0,0,90.42,91.9,次干路,2022,中环路
2020,1,121256.7779,0,0,0,0,94.55,81.5,主干路,2022,朝阳北路
2021,1,37084,0,0,0,0,90.56,91,次干路,2022,西二旗北路（东北旺北路东段）
2022,1,82351.8,0,0,0,0,90.56,96.58,主干路,2022,林萃路
2023,1,21742,0,0,0,0,87.18,85.28,主干路,2022,东单北大街
2024,1,16694.5,0,0,0,0,99.69,95.78,主干路,2022,东四南大街
2025,1,30984,0,0,0,0,97.17,93.88,主干路,2022,东四北大街
2026,2,86502.12939,0,0,0,0,89.64,87.65,主干路,2022,四环路内环辅路
2027,2,89135.44523,0,0,0,0,87.36,88.38,主干路,2022,四环路外环辅路
2028,2,22945,0,0,0,0,87.16,82.77,次干路,2022,月坛北街
2029,2,37965,0,0,0,0,93.14,88.18,次干路,2022,月坛南街
2030,2,31555,0,0,0,0,90.29,94.27,主干路,2022,西直门外大街右侧辅路
2031,2,36612.25,0,0,0,0,82.81,96.12,主干路,2022,西直门外大街左侧辅路
2032,2,27851,0,0,0,0,83.89,82.23,主干路,2022,白纸坊西街
2033,2,26938.8,0,0,0,0,86.92,92.5,主干路,2022,农大南路
2034,2,31325.99666,0,0,0,0,86.92,96.84,主干路,2022,阜通东大街
2035,2,56649.8,0,0,0,0,84.51,92.98,主干路,2022,阜通西大街
2036,2,83490,0,0,0,0,81.82,90.42,主干路,2022,小屯路
2037,2,59846.4,0,0,0,0,95.01,94.55,主干路,2022,南磨房路
2038,2,14209,0,0,0,0,90.7,90.56,次干路,2022,京原路
2039,2,49568,0,0,0,0,87.55,90.56,次干路,2022,京原路
2040,2,17564,0,0,0,0,91.14,87.18,主干路,2022,西直门内大街
2041,3,52980,0,0,0,0,85.01,99.69,主干路,2022,珠市口东大街
2042,3,60398,0,0,0,0,89.17,97.17,主干路,2022,广渠门内大街
2043,3,49784,0,0,0,0,91.88,89.64,主干路,2022,广安门外大街
2044,3,121102.9811,0,0,0,0,84.27,87.36,主干路,2022,四环路内环辅路
2045,3,124789.6233,0,0,0,0,86.35,87.16,主干路,2022,四环路外环辅路
2046,3,45576,0,0,0,0,92.09,93.14,主干路,2022,车公庄大街
2047,3,61099,0,0,0,0,88.76,90.29,主干路,2022,车公庄西路
2048,3,164380,0,0,0,0,87.11,82.81,主干路,2022,成寿寺路
2049,3,142458.1,0,0,0,0,94.7,83.89,主干路,2022,永丰路
2050,3,16856.2,0,0,0,0,90.81,86.92,主干路,2022,香河园路
2051,3,22995,0,0,0,0,92.3,86.92,主干路,2022,香河园路
2052,3,10632,0,0,0,0,85.1,84.51,主干路,2022,雍和宫大街
2053,3,32927.1,0,0,0,0,91.16,81.82,主干路,2022,崇文门内大街
2054,3,43232,0,0,0,0,85.14,95.01,主干路,2022,崇文门外大街
2055,3,9662,0,0,0,0,70.71,90.7,主干路,2022,静安西街
2056,3,10913,0,0,0,0,86.13,87.55,次干路,2022,柳芳北街
2057,4,7163,0,0,0,0,85.05,91.14,次干路,2022,景山东街
2058,4,7563.7,0,0,0,0,91.68,85.01,次干路,2022,景山后街
2059,4,5423.9,0,0,0,0,81.87,89.17,次干路,2022,景山西街
2060,4,325713,0,0,0,0,83.87,91.88,主干路,2022,三环路
2061,4,36650,0,0,0,0,93.08,84.27,次干路,2022,稻香湖路
2062,4,68054,0,0,0,0,94.15,86.35,主干路,2022,广顺北大街
2063,4,36398,0,0,0,0,88.91,92.09,主干路,2022,广顺南大街
2064,4,12025.12679,0,0,0,0,88.61,88.76,主干路,2022,四环路内环辅路
2065,4,12391.1982,0,0,0,0,90.11,87.11,主干路,2022,四环路外环辅路
2066,4,33941,0,0,0,0,82.22,94.7,主干路,2022,珠市口西大街
2067,4,25444,0,0,0,0,90.03,90.81,主干路,2022,骡马市大街
2068,4,90833.5,0,0,0,0,90.8,92.3,主干路,2022,广安门内大街
2069,4,14172,0,0,0,0,75.5,85.1,次干路,2022,西安门大街
2070,5,384394,0,0,0,0,92.25,91.16,主干路,2022,三环路
2071,5,34747.5,0,0,0,0,73.27,85.14,主干路,2022,德胜门外大街左侧辅路
2072,5,62000,0,0,0,0,81.44,70.71,主干路,2022,东苇路
2073,5,30635.4,0,0,0,0,86.95,86.13,主干路,2022,东直门内大街
2074,5,51657.9,0,0,0,0,90.74,85.05,主干路,2022,和平里西街
2075,5,34658.8,0,0,0,0,87.04,91.68,主干路,2022,劲松路
2076,5,15826,0,0,0,0,88.52,81.87,主干路,2022,京开路右辅路
2077,5,15825,0,0,0,0,90.09,83.87,主干路,2022,京开路左辅路
2078,5,90329.03138,0,0,0,0,91.73,93.08,主干路,2022,京通快速路左辅路
2079,5,90010.12334,0,0,0,0,85.49,94.15,主干路,2022,京通快速路右辅路
2080,5,275236.4677,0,0,0,0,85.74,88.91,主干路,2022,四环路内环辅路
2081,5,283615.2736,0,0,0,0,86.1,88.61,主干路,2022,四环路外环辅路
2082,5,20770,0,0,0,0,85.31,90.11,主干路,2022,土城西侧路
2083,5,9399.2,0,0,0,0,88.69,82.22,主干路,2022,西四南大街
2084,5,22678.5,0,0,0,0,87.46,90.03,主干路,2022,西直门北大街右侧辅路
2085,5,24552,0,0,0,0,86.96,90.8,主干路,2022,西直门北大街左侧辅路
2086,5,11378.6,0,0,0,0,89.02,75.5,主干路,2022,新街口南大街
2087,5,48624,0,0,0,0,80.76,92.25,次干路,2022,阜安西路
2088,5,27723.5,0,0,0,0,80.76,73.27,次干路,2022,和平里东街
2089,5,95399,0,0,0,0,81.09,81.44,主干路,2022,后厂村路（东北旺北路）
2090,5,32544,0,0,0,0,98.45,86.95,次干路,2022,天坛路
2091,5,44698.8,0,0,0,0,83.54,90.74,次干路,2022,望京街
2092,5,43811.1,0,0,0,0,78.57,87.04,次干路,2022,香山路
2093,5,87108,0,0,0,0,95.39,88.52,主干路,2022,西三旗南路
2094,6,46097,0,0,0,0,75.83,90.09,快速路,2022,德外大街
2095,6,723374,0,0,0,0,86,91.73,主干路,2022,三环路 
2096,6,122512,0,0,0,0,80.16,85.49,主干路,2022,G6辅路（八达岭右侧辅路）
2097,6,26564.5,0,0,0,0,88.04,85.74,主干路,2022,德胜门外大街右侧辅路
2098,6,63621,0,0,0,0,79.46,86.1,主干路,2022,复兴路
2099,6,20427,0,0,0,0,79.46,85.31,主干路,2022,虎坊路
2100,6,34800,0,0,0,0,86.87,88.69,主干路,2022,来广营西路
2101,6,144392,0,0,0,0,84.16,87.46,主干路,2022,石景山路
2102,6,143726.615,0,0,0,0,93.08,86.96,主干路,2022,四环路内环辅路
2103,6,148101.9705,0,0,0,0,94.15,89.02,主干路,2022,四环路外环辅路
2104,6,24186,0,0,0,0,83.9,80.76,主干路,2022,西单北大街
2105,6,24186,0,0,0,0,83.9,80.76,主干路,2022,西单北大街
2106,6,5130,0,0,0,0,85.35,80.76,主干路,2022,西单北大街
2107,6,5130,0,0,0,0,85.35,80.76,主干路,2022,西单北大街
2108,6,14829,0,0,0,0,83.23,81.09,主干路,2022,西四北大街
2109,6,8700,0,0,0,0,91,98.45,次干路,2022,北池子大街
2110,6,17748,0,0,0,0,88.23,83.54,次干路,2022,北河沿北大街
2111,6,15060,0,0,0,0,85.26,78.57,次干路,2022,北河沿南大街
2112,6,7142.5,0,0,0,0,86.08,95.39,次干路,2022,地安门内大街
2113,6,20227.1,0,0,0,0,92.64,75.83,次干路,2022,鼓楼西大街
2114,6,7410.8,0,0,0,0,87.82,86,次干路,2022,旧鼓楼大街
2115,6,14941,0,0,0,0,91.18,80.16,次干路,2022,南河沿大街
2116,6,53775.7,0,0,0,0,91,88.04,主干路,2022,东坝南二街
2117,7,120797.118,0,0,0,0,84.65,79.46,快速路,2022,莲西路
2118,7,188939.082,0,0,0,0,92.19,79.46,快速路,2022,莲西路
2119,7,104131.6,0,0,0,0,90.91,86.87,主干路,2022,G6辅路（八达岭左侧辅路）
2120,7,24174,0,0,0,0,87.07,84.16,主干路,2022,长椿街
2121,7,47384.56862,0,0,0,0,84.63,93.08,主干路,2022,京通快速路左辅路
2122,7,47217.27666,0,0,0,0,85.32,94.15,主干路,2022,京通快速路右辅路
2123,7,63277.793,0,0,0,0,88.56,83.9,主干路,2022,莲花池西路右侧辅路
2124,7,38682.06016,0,0,0,0,92,85.35,主干路,2022,莲花池西路左侧辅路
2125,7,16595,0,0,0,0,92.02,83.23,主干路,2022,牛街
2126,7,96949.1187,0,0,0,0,88.75,91,主干路,2022,三环路内环辅路
2127,7,48009.94696,0,0,0,0,85.06,88.23,主干路,2022,三环路内环辅路
2128,7,84878.88151,0,0,0,0,86.06,85.26,主干路,2022,三环路外环辅路
2129,7,42032.67295,0,0,0,0,78.6,86.08,主干路,2022,三环路外环辅路
2130,7,14770,0,0,0,0,84.89,92.64,主干路,2022,西土城路 
2131,7,78489,0,0,0,0,86.53,87.82,主干路,2022,知春路
2132,7,28240,0,0,0,0,73.93,91.18,次干路,2022,建材城东路
2133,7,84052,0,0,0,0,88.34,91,次干路,2022,建材城西路
2134,7,8130.3,0,0,0,0,86.13,84.65,次干路,2022,南池子大街
2135,7,37142,0,0,0,0,81.99,92.19,主干路,2022,望京东路
2136,7,31172,0,0,0,0,88.63,90.91,主干路,2022,鲁坨路
2137,8,20811.5,0,0,0,0,86.03,87.07,主干路,2022,北蜂窝路
2138,8,136009,0,0,0,0,81.9,84.63,主干路,2022,朝阳路
2139,8,21272.9,0,0,0,0,84.49,85.32,主干路,2022,光明路
2140,8,79138.97708,0,0,0,0,75.09,88.56,主干路,2022,三环路内环辅路
2141,8,77435.39832,0,0,0,0,88.01,92,主干路,2022,三环路内环辅路
2142,8,67368.79654,0,0,0,0,82.85,92.02,主干路,2022,三环路内环辅路
2143,8,69286.11574,0,0,0,0,87.37,88.75,主干路,2022,三环路外环辅路
2144,8,67794.63379,0,0,0,0,84.18,85.06,主干路,2022,三环路外环辅路
2145,8,58981.3314,0,0,0,0,83.24,86.06,主干路,2022,三环路外环辅路
2146,8,74880,0,0,0,0,86.96,78.6,主干路,2022,上地西路
2147,8,21943,0,0,0,0,87.18,84.89,主干路,2022,体育馆路
2148,8,69732,0,0,0,0,74.48,86.53,主干路,2022,望京北路
2149,8,35247,0,0,0,0,86.78,73.93,主干路,2022,新街口外大街
2150,8,16725.3,0,0,0,0,85.36,88.34,次干路,2022,美术馆后街
2151,9,159643,0,0,0,0,81.08,86.13,主干路,2022,阜成路
2152,9,33698.25857,0,0,0,0,81.82,81.99,主干路,2022,G4辅路（京石右侧辅路）
2153,9,98342.95587,0,0,0,0,86.49,88.63,主干路,2022,三环路内环辅路
2154,9,86099.18492,0,0,0,0,69.65,86.03,主干路,2022,三环路外环辅路
2155,9,5700,0,0,0,0,80.18,81.9,主干路,2022,杨庄大街
2156,9,38643.82,0,0,0,0,89.68,84.49,主干路,2022,卢沟桥南路
2157,9,79669,0,0,0,0,82.15,75.09,次干路,2022,周口店路
2158,9,22773,0,0,0,0,78.25,88.01,主干路,2022,后八家路（八家南北线）
2159,9,62746,0,0,0,0,85.35,82.85,主干路,2022,西三旗东路
2160,10,69851.5,0,0,0,0,92.82,87.37,主干路,2022,菜市口大街
2161,10,64561.7,0,0,0,0,79.68,84.18,主干路,2022,工人体育场北路
2162,10,65938,0,0,0,0,84.74,83.24,主干路,2022,广安路
2163,10,14898.68788,0,0,0,0,78.06,86.96,主干路,2022,京密路（京顺路）
2164,10,14898.68788,0,0,0,0,83.7,87.18,主干路,2022,G1辅路（京沈高速左辅路）
2165,10,97916.4,0,0,0,0,87.16,74.48,主干路,2022,石门路
2166,10,88075.02205,0,0,0,0,87.57,86.78,主干路,2022,三环路内环辅路
2167,10,77109.61648,0,0,0,0,86.49,85.36,主干路,2022,三环路外环辅路
2168,10,57614,0,0,0,0,80.12,81.08,主干路,2022,信息路
2169,10,10986,0,0,0,0,76.8,81.82,支路,2022,台基厂大街
2170,11,197472.5309,0,0,0,0,74.87,86.49,主干路,2022,二环路外环辅路
2171,11,27816,0,0,0,0,85.15,69.65,主干路,2022,阜成门内大街
2172,11,10440,0,0,0,0,88,80.18,主干路,2022,南蜂窝路
2173,11,34381.31685,0,0,0,0,85.9,89.68,主干路,2022,三环路内环辅路
2174,11,30100.8174,0,0,0,0,87.26,82.15,主干路,2022,三环路外环辅路
2175,11,39356.5,0,0,0,0,79.41,78.25,主干路,2022,三里河东路
2176,11,50252.1,0,0,0,0,87.85,85.35,主干路,2022,新东路
2177,11,43737.5,0,0,0,0,85.12,92.82,主干路,2022,颐和园路
2178,11,18256.4,0,0,0,0,85.79,79.68,次干路,2022,安定门内大街
2179,11,27265,0,0,0,0,88.51,84.74,次干路,2022,海淀南路
2180,11,43130,0,0,0,0,89.24,78.06,次干路,2022,闵庄路
2181,11,11584,0,0,0,0,91.95,83.7,主干路,2022,马连道北路
2182,12,870062.1,0,0,0,0,72.78,87.16,主干路,2022,二环路 
2183,12,118126.3766,0,0,0,0,75.89,87.57,主干路,2022,二环路外环辅路
2184,12,23584.84416,0,0,0,0,95.04,86.49,主干路,2022,二环路外环辅路
2185,12,294330,0,0,0,0,80.12,80.12,主干路,2022,京密路（京顺路）
2186,12,61289.25,0,0,0,0,81.15,76.8,主干路,2022,酒仙桥路
2187,12,12975,0,0,0,0,91.37,74.87,主干路,2022,酒仙桥南路
2188,12,14310.06161,0,0,0,0,94.14,85.15,主干路,2022,三环路内环辅路
2189,12,41195.63191,0,0,0,0,86.77,88,主干路,2022,三环路内环辅路
2190,12,12528.44832,0,0,0,0,86.84,85.9,主干路,2022,三环路外环辅路
2191,12,36066.74518,0,0,0,0,79.41,87.26,主干路,2022,三环路外环辅路
2192,12,9252.3,0,0,0,0,85.29,79.41,次干路,2022,永定路
2193,12,468646.3,0,0,0,0,72.13,87.85,主干路,2022,阜石路辅路
2194,12,468646.3,0,0,0,0,72.13,87.85,主干路,2022,阜石路辅路
2195,12,468646.3,0,0,0,0,72.13,87.85,主干路,2022,阜石路辅路
2196,12,207217,0,0,0,0,80.39,85.12,主干路,2022,金榆路（温榆河大道）
2197,12,45360.6,0,0,0,0,90.78,85.79,主干路,2022,金盏路（温榆河大道）
2198,12,28312.8,0,0,0,0,90.3,88.51,主干路,2022,康营东路（温榆河大道）
2199,12,208107,0,0,0,0,84.35,89.24,主干路,2022,榴乡路（蒲黄榆路）
2200,12,337188.9876,0,0,0,0,88.23,91.95,快速路,2022,阜石路
2201,12,337188.9876,0,0,0,0,88.23,91.95,快速路,2022,阜石路
2202,12,337188.9876,0,0,0,0,88.23,91.95,快速路,2022,阜石路
2203,12,71308.9,0,0,0,0,87.04,72.78,主干路,2022,杏石口路
2204,13,33086,0,0,0,0,84.27,75.89,主干路,2022,北苑路北段
2205,13,87205.5,0,0,0,0,86.17,95.04,主干路,2022,东长安街
2206,13,44920.5,0,0,0,0,98.76,80.12,主干路,2022,京密路（京顺路）
2207,13,10658,0,0,0,0,93.47647893,81.15,主干路,2022,手帕口北街
2208,13,108806,0,0,0,0,88.04,91.37,主干路,2022,西长安街
2209,13,50653.8,0,0,0,0,77.52,94.14,主干路,2022,北湖渠路(鼎成路)
2210,13,40080,0,0,0,0,93.13,86.77,主干路,2022,万寿路
2211,13,84760,0,0,0,0,87.76,86.84,次干路,2022,望京西路
2212,13,13692.5,0,0,0,0,70.42,79.41,次干路,2022,永定路
2213,14,20249.29821,0,0,0,0,86.56,85.29,主干路,2022,北辰路
2214,14,80694.4,0,0,0,0,84.87,72.13,主干路,2022,广渠路
2215,14,80694.4,0,0,0,0,84.87,72.13,主干路,2022,广渠路
2216,14,20268,0,0,0,0,90.05,80.39,主干路,2022,前门大街
2217,14,111034.2,0,0,0,0,81.29,90.78,主干路,2022,四环路内环辅路
2218,14,118035.5791,0,0,0,0,77.63,90.3,主干路,2022,四环路外环辅路
2219,14,16353,0,0,0,0,72.38,84.35,主干路,2022,西大望路
2220,14,8744.5,0,0,0,0,85.08,88.23,次干路,2022,东华门大街
2221,14,14269.9,0,0,0,0,84.8,87.04,次干路,2022,香山路
2222,14,242814.25,0,0,0,0,83.07,84.27,主干路,2022,安立路
2223,14,242814.25,0,0,0,0,83.07,84.27,主干路,2022,安立路
2224,14,57460.55,0,0,0,0,99.08,86.17,主干路,2022,奥林西路
2225,14,72843.282,0,0,0,0,68.52,98.76,主干路,2022,北辰东路
2226,14,12301.98,0,0,0,0,80.73,93.47647893,主干路,2022,北辰桥改造道路
2227,14,83082.81,0,0,0,0,83.54,88.04,主干路,2022,北辰西路
2228,14,83082.81,0,0,0,0,83.54,88.04,主干路,2022,北辰西路
2229,14,141018.2,0,0,0,0,88.75,77.52,主干路,2022,北土城东路
2230,14,169285.72,0,0,0,0,92.55,93.13,主干路,2022,大屯路
2231,14,63039.4,0,0,0,0,79.93,87.76,主干路,2022,高梁桥路
2232,14,64400,0,0,0,0,93.27,70.42,主干路,2022,和平里北街
2233,14,115053.14,0,0,0,0,79.32,86.56,主干路,2022,慧忠路
2234,14,271131.73,0,0,0,0,68.79,84.87,主干路,2022,机场二通道辅路
2235,14,29103,0,0,0,0,84.41,90.05,主干路,2022,姜庄路
2236,14,82599,0,0,0,0,80.36,81.29,主干路,2022,康辛路
2237,14,144684.05,0,0,0,0,95.54,77.63,主干路,2022,马连洼北路
2238,14,23324,0,0,0,0,86.86,72.38,主干路,2022,陶然亭路
2239,14,36406.4,0,0,0,0,79.89,85.08,主干路,2022,万寿路
2240,14,57151.5,0,0,0,0,80.38,84.8,主干路,2022,北京西站南路(西客站南路)
2241,14,38815.18,0,0,0,0,92.1,83.07,主干路,2022,小营西路
2242,14,66248,0,0,0,0,78.98,99.08,主干路,2022,永定门内大街
2243,14,130225.25,0,0,0,0,65.27,68.52,主干路,2022,张仪村路
