道路名称,年份,路龄,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,车道面积,道路属性_主干路,道路属性_次干路,道路属性_快速路,道路属性_支路,pred
1.0,2016.0,5.000000000000001,9.68,2.0593,54.466,0.0,81.33,27264.999999999996,0.0,1.0,0.0,0.0,84.46483423948288
2.0,2016.0,10.000000000000002,2.88,0.0,64.3214,0.0,89.7,41524.1,0.0,1.0,0.0,0.0,86.65235576272012
3.0,2016.0,6.000000000000001,0.0,1.7617999999999998,18.8149,21.1,89.41,27264.999999999996,0.0,1.0,0.0,0.0,86.92083228588105
4.0,2016.0,11.0,65.4478,0.1794,0.0,0.0,79.52,41524.1,0.0,1.0,0.0,0.0,82.46687311887742
5.0,2016.0,6.999999999999999,27.0023,1.2287,11.636,19.3156,91.49,27264.999999999996,0.0,1.0,0.0,0.0,86.96911740779878
6.0,2016.0,16.0,21.7912,0.0,103.55,0.0,81.04,68672.0,1.0,0.0,0.0,0.0,83.59877459883691
7.0,2016.0,8.0,34.9008,1.2808,1.1397,0.0,84.08,27264.999999999996,0.0,1.0,0.0,0.0,84.46597867250443
8.0,2016.0,13.0,22.6266,1.0001,15.96,4.656,86.86,41524.1,0.0,1.0,0.0,0.0,84.82758467674256
9.0,2016.0,17.0,71.7623,3.0911,0.0,0.0,92.5,68672.0,1.0,0.0,0.0,0.0,85.6039755022526
10.0,2016.0,19.0,16.8279,0.6562,0.0,0.0,90.96,68672.0,1.0,0.0,0.0,0.0,85.90528232574464
11.0,2016.0,13.999999999999998,12.6864,2.7493,0.0,0.0,83.8,41524.1,0.0,1.0,0.0,0.0,83.68529124736787
12.0,2016.0,9.0,8.6213,2.7979,0.0,0.0,87.15,27264.999999999996,0.0,1.0,0.0,0.0,85.45964757084847
13.0,2016.0,3.0,10.5204,5.6894,0.0,0.0,91.78,38643.82,1.0,0.0,0.0,0.0,88.0006645512581
14.0,2016.0,5.000000000000001,0.6973,1.4897,0.0,0.0,82.16,18256.4,0.0,1.0,0.0,0.0,84.85689708948136
15.0,2016.0,6.000000000000001,10.0,0.5296,51.38199999999999,0.0,80.21,21742.0,1.0,0.0,0.0,0.0,84.67312353730203
16.0,2016.0,6.000000000000001,0.645,0.6815,49.051,0.0,80.9,30983.999999999996,1.0,0.0,0.0,0.0,85.05549104928971
17.0,2016.0,6.999999999999999,0.0,0.09242,0.0,8.8452,94.89,87205.5,1.0,0.0,0.0,0.0,89.25050482988358
18.0,2016.0,6.999999999999999,0.0,0.0317,0.0,0.0,95.95,10658.0,1.0,0.0,0.0,0.0,89.02277261018754
19.0,2016.0,6.999999999999999,95.0517,2.0784,111.82699999999998,160.3,79.29,164380.0,1.0,0.0,0.0,0.0,83.86643260359764
20.0,2016.0,6.999999999999999,0.0,0.6435,0.0,0.0,89.9,40080.0,1.0,0.0,0.0,0.0,87.47628036499025
21.0,2016.0,8.0,0.0,0.0823,0.0,0.0,83.6,8744.5,0.0,1.0,0.0,0.0,84.84631357192994
22.0,2016.0,8.0,8.6772,4.8874,49.02100000000001,0.0,80.04,242814.24999999997,1.0,0.0,0.0,0.0,85.60373417615891
23.0,2016.0,8.0,8.6772,4.8874,49.02100000000001,0.0,80.04,242814.24999999997,1.0,0.0,0.0,0.0,85.60373417615891
24.0,2016.0,8.0,4.1831,0.9210490000000001,21.236,2.5345,79.18,83082.81,1.0,0.0,0.0,0.0,84.5731150186062
25.0,2016.0,8.0,4.1831,0.9210490000000001,21.236,2.5345,79.18,83082.81,1.0,0.0,0.0,0.0,84.5731150186062
26.0,2016.0,8.0,24.230821,1.347446,105.93399999999998,7.9114,85.74,141018.2,1.0,0.0,0.0,0.0,86.4563318014145
27.0,2016.0,8.0,110.967977,4.225908,72.275,0.0,78.81,169285.72,1.0,0.0,0.0,0.0,83.6244671201706
28.0,2016.0,8.0,15.237799999999998,2.4223,0.0,1.918,84.08,64400.0,1.0,0.0,0.0,0.0,85.46014266252519
29.0,2016.0,8.0,0.0,0.0,0.0,0.0,96.39,115053.14,1.0,0.0,0.0,0.0,89.72531516313553
30.0,2016.0,8.0,17.639625,3.810449,148.8358,0.0,81.06,271131.73,1.0,0.0,0.0,0.0,86.05359586954118
31.0,2016.0,8.0,0.68703,0.381488,84.0111,0.0,90.28,29103.0,1.0,0.0,0.0,0.0,87.33807017445565
32.0,2016.0,8.0,0.0,0.0,113.1551,15.5906,92.7,144684.05,1.0,0.0,0.0,0.0,88.87431974411012
33.0,2016.0,8.0,79.8892,0.7533,0.0,0.0,87.1,23324.0,1.0,0.0,0.0,0.0,85.24139921784402
34.0,2016.0,8.0,0.0,0.0,0.0,0.0,89.9,36406.4,1.0,0.0,0.0,0.0,87.34366545677186
35.0,2016.0,8.0,15.306284,4.8699011,0.0,0.0,92.58,57151.50000000001,1.0,0.0,0.0,0.0,87.47705410122873
36.0,2016.0,8.0,51.8391,1.1584,51.1452,0.0,92.91,66248.0,1.0,0.0,0.0,0.0,87.43545396089554
37.0,2016.0,8.0,0.0,0.13293,111.0882,28.055544999999995,90.28,130225.25,1.0,0.0,0.0,0.0,88.06094631671907
38.0,2016.0,9.0,24.6477,0.3946,0.0,0.0,83.72,32927.1,1.0,0.0,0.0,0.0,85.02467345833779
39.0,2016.0,9.0,43.7186,0.9094,0.0,3.3067,81.55,34010.0,1.0,0.0,0.0,0.0,84.14325353622438
40.0,2016.0,9.0,0.0,0.4494000000000001,0.0,30.1631,89.8,61987.0,1.0,0.0,0.0,0.0,87.21380713939668
41.0,2016.0,9.0,79.2779,0.1743,62.823,0.0,84.81,28800.0,1.0,0.0,0.0,0.0,84.59789945721627
42.0,2016.0,9.0,0.0,1.0086,0.0,0.0,82.81,54746.0,1.0,0.0,0.0,0.0,85.22938018321992
43.0,2016.0,9.0,0.0,1.5973,0.0,3.9871,81.79,65126.4,1.0,0.0,0.0,0.0,84.95995825886727
44.0,2016.0,9.0,0.0,4.517299,0.0,0.0,90.97,36000.0,1.0,0.0,0.0,0.0,86.98233063340189
45.0,2016.0,9.0,42.8473,0.0728,0.0,0.0,92.03,26725.2,1.0,0.0,0.0,0.0,87.00079581141473
46.0,2016.0,9.0,25.2754,2.1438,0.0,0.0,85.74,49784.0,1.0,0.0,0.0,0.0,85.5222206902504
47.0,2016.0,9.0,0.0,1.4829,0.0,2.1588,61.5,20521.9,1.0,0.0,0.0,0.0,79.0376616704464
48.0,2016.0,9.0,2.272722,3.241804,0.0,0.0,82.74999999999999,38376.0,1.0,0.0,0.0,0.0,84.81630952358246
49.0,2016.0,9.0,36.6421,1.9876000000000003,0.0,150.77799999999996,89.26,31120.0,1.0,0.0,0.0,0.0,85.81695697546006
50.0,2016.0,9.0,21.5556,0.6478,0.0,0.0,87.96,14882.899999999998,1.0,0.0,0.0,0.0,86.06089536190034
51.0,2016.0,9.0,0.0,0.2095,0.0,0.0,85.32,20676.6,1.0,0.0,0.0,0.0,85.73896884083749
52.0,2016.0,9.0,73.608614,1.6036,0.0,0.0,88.65,52912.0,1.0,0.0,0.0,0.0,85.71277127623559
53.0,2016.0,9.0,24.6074,2.494,0.0,0.0,91.53,27633.800000000003,0.0,1.0,0.0,0.0,86.57882594108582
54.0,2016.0,9.0,0.0,0.0,0.0,0.0,95.77,14820.0,1.0,0.0,0.0,0.0,88.66094269514085
55.0,2016.0,9.0,0.0,1.2344,107.65430000000002,0.0,84.26,31549.0,1.0,0.0,0.0,0.0,85.41750755667688
56.0,2016.0,9.0,0.569245,0.629202,94.93589999999999,0.0,77.06,34094.63,1.0,0.0,0.0,0.0,83.49035947322847
57.0,2016.0,10.000000000000002,0.0,0.05909999999999999,0.0,0.0,86.65,12530.0,1.0,0.0,0.0,0.0,85.89411664009096
58.0,2016.0,10.000000000000002,56.8628,1.0613,0.0,3.105,83.73,37538.5,1.0,0.0,0.0,0.0,84.41631774306298
59.0,2016.0,10.000000000000002,2.4439,1.2259,66.6337,2.6225,78.97,43232.0,1.0,0.0,0.0,0.0,83.8383019423485
60.0,2016.0,10.000000000000002,0.0,0.5229,0.0,45.7384,86.27,52438.99999999999,1.0,0.0,0.0,0.0,85.94219029068948
61.0,2016.0,10.000000000000002,50.9306,1.937,0.0,0.0,83.64,64748.0,1.0,0.0,0.0,0.0,84.60377338409425
62.0,2016.0,10.000000000000002,54.5848,1.2618,53.786,5.5186,92.34,30857.0,1.0,0.0,0.0,0.0,86.64603401422502
63.0,2016.0,10.000000000000002,0.0,0.8567,0.0,0.0,73.26,16577.0,0.0,1.0,0.0,0.0,81.25245055437088
64.0,2016.0,10.000000000000002,9.921666,4.9559469,0.0,0.0,80.6,30698.0,0.0,1.0,0.0,0.0,83.02406272649765
65.0,2016.0,10.000000000000002,20.778108,3.8750572,0.0,0.0,91.87,19717.8,0.0,1.0,0.0,0.0,86.34070425987245
66.0,2016.0,10.000000000000002,27.433722,2.735193,0.0,0.6514,90.35,39434.5,0.0,1.0,0.0,0.0,86.07534756064416
67.0,2016.0,10.000000000000002,0.0,0.1365,0.0,0.0,83.2,23384.2,0.0,1.0,0.0,0.0,84.49457208275795
68.0,2016.0,10.000000000000002,0.0,0.6182,45.61,0.0,83.12,44090.0,1.0,0.0,0.0,0.0,85.10036775112152
69.0,2016.0,10.000000000000002,19.263,0.7638,0.0,0.0,87.05,50940.0,1.0,0.0,0.0,0.0,85.95251755475999
70.0,2016.0,10.000000000000002,0.0,0.0422,0.0,2.1646,74.8,33134.2,1.0,0.0,0.0,0.0,82.75241164565087
