道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,����pci,
1,2019,2,0,0,0,0,98.74,34747.5,1,0,0,0,90.89677422,95.78,4.883225781
2,2019,2,0,0.3777,0,0,90.23,30635.4,1,0,0,0,88.45401677,87.6,-0.854016765
3,2019,2,0,0.1118,0,0,95.45,51657.9,1,0,0,0,90.08620216,93.76,3.673797835
4,2019,2,0,0.7121,0,0,92.76,34658.8,1,0,0,0,89.15161587,94.46,5.308384135
5,2019,2,13.6452,1.3715,0,0,90.47,15826,1,0,0,0,88.06398155,95.85,7.786018448
6,2019,2,20.9473,1.3715,40.928,0,97.31,15825,1,0,0,0,89.81193879,93.99,4.178061209
7,2019,2,0,0.2743,3.874,0,89.32,90329,1,0,0,0,88.64736624,97.64,8.992633764
8,2019,2,0,0.1646,4.151,0,96.47,90010.1,1,0,0,0,90.62265514,99.31,8.687344856
9,2019,2,0,1.213883,0,0,94.91,275236.5,1,0,0,0,91.25989535,81.08,-10.17989535
10,2019,2,0.2867,0.440568,0,0,91.74,283615.3,1,0,0,0,90.55700201,82.01,-8.547002007
11,2019,2,0,0.0211,0,0,89.23,20770,1,0,0,0,88.14060383,96.8,8.659396169
12,2019,2,0,0.0865,0,0,86.51,9399.2,1,0,0,0,87.28551333,89.66,2.374486668
13,2019,2,3.3223,0.742298,0,0,87.64,22678.5,1,0,0,0,87.5752987,95.64,8.0647013
14,2019,2,0,0.764453,0,0,84.99,24552,1,0,0,0,86.90447685,96.6,9.695523155
15,2019,2,0,0,0,0,93.55,11378.6,1,0,0,0,89.28348938,89.21,-0.07348938
16,2019,2,0,0.1055,0,0,94.46,48624,0,1,0,0,89.71768229,94.38,4.662317708
17,2019,2,0,0.1182,0,0,92.09,27723.5,0,1,0,0,88.81250046,93.26,4.447499542
18,2019,2,0,0.39246,0,0,84.95,95399,1,0,0,0,87.47097368,96.18,8.709026321
19,2019,2,12.144,0.8778,0,0,88.45,32544,0,1,0,0,87.39444345,94.16,6.765556548
20,2019,2,0.153,0.2585,0,0,93.91,44698.8,0,1,0,0,89.49320922,93.52,4.026790781
21,2019,2,0,2.39696,0,0,94.65,43811.1,0,1,0,0,89.44044091,91.13,1.689559095
22,2019,3,0,0,0,0,97.85,26564.5,1,0,0,0,90.40326236,94.04,3.636737642
23,2019,3,0,0.0106,0,0,92.97,20427,1,0,0,0,88.99308204,88.76,-0.233082037
24,2019,3,0,2.7841,0,0,86.93,34800,1,0,0,0,87.11360954,91.11,3.99639046
25,2019,3,0,0.46,0,0,96.54,144392,1,0,0,0,90.78308226,93.61,2.826917738
