道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,,
1,2022,1,0,0.1452,0,0,87.65,20521.9,1,0,0,0,87.88109369,89.85,1.968906308
2,2022,1,0,0.57,0,0,88.38,45337.21212,1,0,0,0,88.22292837,86.96,-1.262928371
3,2022,1,0,0.08,0,0,82.77,45337.21212,1,0,0,0,86.71961359,87.18,0.460386406
4,2022,1,0,0,0,0,88.18,112080,0,1,0,0,88.51092743,95.27,6.759072571
5,2022,1,0,2.432619,0,0,94.27,118955,1,0,0,0,90.15584589,94.15,3.99415411
6,2022,1,0,2.81685,0,0,96.12,118955,1,0,0,0,90.61624632,92.36,1.743753681
7,2022,1,0,1.189196,0,0,82.23,90620,1,0,0,0,86.800219,93.48,6.679781003
8,2022,1,0,0.094572,0,0,92.5,66248,1,0,0,0,89.56595038,99.08,9.514049623
9,2022,1,0,2.0570076,0,0,96.84,59296,1,0,0,0,90.49835977,88.68,-1.818359766
10,2022,1,0,0.222888,0,0,92.98,31549,1,0,0,0,89.43979405,98,8.560205948
11,2022,1,0,0,0,0,90.42,21006,0,1,0,0,88.45661413,91.9,3.443385869
12,2022,1,0,0.2099,0,0,94.55,121256.7779,1,0,0,0,90.48922918,81.5,-8.989229181
13,2022,1,0,0.16036,0,0,90.56,37084,0,1,0,0,88.61220478,91,2.387795224
14,2022,1,0,0,0,0,90.56,82351.8,1,0,0,0,89.1545889,96.58,7.425411097
15,2022,1,0,0,0,0,87.18,21742,1,0,0,0,87.77494255,85.28,-2.494942553
16,2022,1,0,0,0,0,99.69,16694.5,1,0,0,0,91.23171245,95.78,4.548287554
17,2022,1,0,0,0,0,97.17,30984,1,0,0,0,90.6269816,93.88,3.253018402
18,2022,2,0,1.386903,0,0,89.64,86502.12939,1,0,0,0,88.5878184,87.65,-0.937818401
19,2022,2,0,2.919185,0,17.421879,87.36,89135.44523,1,0,0,0,87.77395983,88.38,0.606040167
20,2022,2,0,0.0444,0,0,87.16,22945,0,1,0,0,87.24740869,82.77,-4.477408688
21,2022,2,0,0.080808,0,0,93.14,37965,0,1,0,0,89.22689468,88.18,-1.046894679
22,2022,2,0,0.296455,0,0,90.29,31555,1,0,0,0,88.48647637,94.27,5.783523631
23,2022,2,0.8874,0.820157,0,0.372092,82.81,36612.25,1,0,0,0,86.37102676,96.12,9.748973241
24,2022,2,0,0,0,0,83.89,27851,1,0,0,0,86.70560673,82.23,-4.475606729
25,2022,2,0,0.1477,0,0,86.92,26938.8,1,0,0,0,87.52786444,92.5,4.972135561
26,2022,2,8.63249093,0,0,0,86.92,31325.99666,1,0,0,0,87.43149572,96.84,9.408504285
27,2022,2,0,0,0,0,84.51,56649.8,1,0,0,0,87.09989376,92.98,5.880106241
28,2022,2,16.44199206,1.068175,0,0,81.82,83490,1,0,0,0,86.19730431,90.42,4.222695686
29,2022,2,0,0.2276,0,0,95.01,59846.4,1,0,0,0,90.00807471,94.55,4.541925292
30,2022,2,0,0.0598718,0,0,90.7,14209,0,1,0,0,88.2749951,90.56,2.285004902
31,2022,2,0,0,0,0,87.55,49568,0,1,0,0,87.6009141,90.56,2.959085903
32,2022,2,0,0.01887,0,0,91.14,17564,1,0,0,0,88.65148868,87.18,-1.471488683
33,2022,3,0,0.164613,0,0,85.01,52980,1,0,0,0,86.99965387,99.69,12.69034613
34,2022,3,0,0.140748,0,0,89.17,60398,1,0,0,0,88.21260857,97.17,8.957391429
35,2022,3,0,2.219778,0,0,91.88,49784,1,0,0,0,88.66025106,89.64,0.97974894
36,2022,3,17.1599,2.973834,108.9,0,84.27,121102.9811,1,0,0,0,86.7448359,87.36,0.615164098
37,2022,3,9.9533,1.269165,0,0,86.35,124789.6233,1,0,0,0,87.62251403,87.16,-0.462514026
38,2022,3,0.15,0.362304,0,12.69,92.09,45576,1,0,0,0,88.85457579,93.14,4.285424213
39,2022,3,0,1.51287,0,0,88.76,61099,1,0,0,0,87.95554404,90.29,2.334455965
40,2022,3,0,1.872459,0,0,87.11,164380,1,0,0,0,88.21481036,82.81,-5.404810361
41,2022,3,0.36672262,13.843564,0,0,94.7,142458.1,1,0,0,0,88.88117639,83.89,-4.991176391
42,2022,3,0,0.1647795,0,0,90.81,16856.2,1,0,0,0,88.34432286,86.92,-1.42432286
43,2022,3,0.14,0.1647795,0,0,92.3,22995,1,0,0,0,88.80456158,86.92,-1.884561576
44,2022,3,0,0.3044952,0,0,85.1,10632,1,0,0,0,86.68093922,84.51,-2.170939221
45,2022,3,0,0.1489842,0,0,91.16,32927.1,1,0,0,0,88.56316333,81.82,-6.743163333
46,2022,3,0,0.4392714,0,0,85.14,43232,1,0,0,0,86.93133121,95.01,8.078668785
47,2022,3,0,0.1132,0,0,70.71,9662,1,0,0,0,82.68557925,90.7,8.014420755
48,2022,3,0,0.024,0,0,86.13,10913,0,1,0,0,86.62197604,87.55,0.928023958
49,2022,4,13.48,0.00666,0,0,85.05,7163,0,1,0,0,85.81827059,91.14,5.321729414
50,2022,4,3.95,0.141636,0,0,91.68,7563.7,0,1,0,0,88.03966235,85.01,-3.02966235
51,2022,4,0.16,0,0,0,81.87,5423.9,0,1,0,0,85.04142696,89.17,4.128573037
52,2022,4,3.78,4.757206,0,0,83.87,325713,1,0,0,0,87.93764112,91.88,3.942358878
53,2022,4,0.1482391,3.07244,0,3.70664,93.08,36650,0,1,0,0,88.40320891,84.27,-4.133208915
54,2022,4,14.4883163,0.953,0,0,94.15,68054,1,0,0,0,89.10908774,86.35,-2.759087739
55,2022,4,0,0.2586,0,0,88.91,36398,1,0,0,0,87.75956734,92.09,4.330432656
56,2022,4,0.2754,0.13926,0,0,88.61,12025.12679,1,0,0,0,87.49822114,88.76,1.261778864
57,2022,4,4.6662,0.17302,0,0,90.11,12391.1982,1,0,0,0,87.84279748,87.11,-0.73279748
58,2022,4,0,1.066932,0,0,82.22,33941,1,0,0,0,85.78882134,94.7,8.911178662
59,2022,4,0.15,1.86036,0,0,90.03,25444,1,0,0,0,87.81254962,90.81,2.997450383
60,2022,4,1.56,2.394048,0,19.77,90.8,90833.5,1,0,0,0,88.37642669,92.3,3.923573306
61,2022,4,0.13,0.373071,0,0,75.5,14172,0,1,0,0,83.09167881,85.1,2.008321185
62,2022,5,0.6434,6.895902,0,0,92.25,384394,1,0,0,0,90.13025288,91.16,1.029747115
63,2022,5,0.969,1.161133,0,0.11394,73.27,34747.5,1,0,0,0,83.10749189,85.14,2.032508106
64,2022,5,0,3.24,0,0,81.44,62000,1,0,0,0,85.38523206,70.71,-14.67523206
65,2022,5,0,0.180264,0,23.68,86.95,30635.4,1,0,0,0,86.92842037,86.13,-0.798420374
66,2022,5,0.46,0.8368512,0,0,90.74,51657.9,1,0,0,0,88.12811458,85.05,-3.078114583
67,2022,5,0,0.3958,0,0,87.04,34658.8,1,0,0,0,87.02284356,91.68,4.657156438
68,2022,5,0,6.393489,0,0,88.52,15826,1,0,0,0,86.65294042,81.87,-4.782940419
