道路名称,年份,路龄,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,车道面积,道路属性_主干路,道路属性_次干路,道路属性_快速路,道路属性_支路,道路名称2,pred
2009,2022,1.0,0.0,0.0,0.0,0.0,83.38989667,20521.9,1.0,0.0,0.0,0.0,惠新东街,75.40089025813342
2010,2022,1.0,0.0,0.0,0.0,0.0,83.72273698,45337.21212,1.0,0.0,0.0,0.0,G1辅路（京沈高速右辅路）,75.43126127141714
2011,2022,1.0,0.0,0.0,0.0,0.0,82.32322887,45337.21212,1.0,0.0,0.0,0.0,G1辅路（京沈高速左辅路）,75.34261100167036
2012,2022,1.0,0.0,0.0,0.0,0.0,84.12936585,112080.00000000001,0.0,1.0,0.0,0.0,长青路,80.1284020063281
2013,2022,1.0,0.0,0.0,0.0,0.0,85.62874141,118955.00000000001,1.0,0.0,0.0,0.0,四环路内环辅路,75.57942927318811
2014,2022,1.0,0.0,0.0,0.0,0.0,86.08947323,118955.00000000001,1.0,0.0,0.0,0.0,四环路外环辅路,75.60857599192857
2015,2022,1.0,0.0,0.0,0.0,0.0,82.46606244,90620.0,1.0,0.0,0.0,0.0,中关村南大街,75.36855753737689
2016,2022,1.0,0.0,0.0,0.0,0.0,84.87798650999999,66248.0,1.0,0.0,0.0,0.0,永定门内大街,75.51221124845743
2017,2022,1.0,0.0,0.0,0.0,0.0,85.92344424,59296.0,1.0,0.0,0.0,0.0,永定门外大街,75.57572093701363
2018,2022,1.0,0.0,0.0,0.0,0.0,84.79233552,31549.0,1.0,0.0,0.0,0.0,南新华街,75.49377592521905
2019,2022,1.0,0.0,0.0,0.0,0.0,84.14101555,21006.0,0.0,1.0,0.0,0.0,中环路,80.08555169731378
2020,2022,1.0,0.0,0.0,0.0,0.0,85.71182091,121256.7779,1.0,0.0,0.0,0.0,朝阳北路,75.58554601889848
2021,2022,1.0,0.0,0.0,0.0,0.0,84.27964209,37084.0,0.0,1.0,0.0,0.0,西二旗北路（东北旺北路东段）,80.10177241826057
2022,2022,1.0,0.0,0.0,0.0,0.0,84.48878375,82351.8,1.0,0.0,0.0,0.0,林萃路,75.49360811650753
2023,2022,1.0,0.0,0.0,0.0,0.0,83.27965817,21742.0,1.0,0.0,0.0,0.0,东单北大街,75.39436935341358
2024,2022,1.0,0.0,0.0,0.0,0.0,86.3906166,16694.5,1.0,0.0,0.0,0.0,东四南大街,75.58921890252829
2025,2022,1.0,0.0,0.0,0.0,0.0,85.84079254,30983.999999999996,1.0,0.0,0.0,0.0,东四北大街,75.5598571050167
2026,2022,2.0,0.0,0.0,0.0,0.0,84.12615621,86502.12939,1.0,0.0,0.0,0.0,四环路内环辅路,75.51086405175924
2027,2022,2.0,0.0,0.0,0.0,0.0,83.57249618,89135.44523,1.0,0.0,0.0,0.0,四环路外环辅路,75.47677288478613
2028,2022,2.0,0.0,0.0,0.0,0.0,83.13002952,22945.0,0.0,1.0,0.0,0.0,月坛北街,80.07633403569459
2029,2022,2.0,0.0,0.0,0.0,0.0,84.80019417,37965.0,0.0,1.0,0.0,0.0,月坛南街,80.18610929507017
2030,2022,2.0,0.0,0.0,0.0,0.0,83.95904473,31554.999999999996,1.0,0.0,0.0,0.0,西直门外大街右侧辅路,75.47973671752214
2031,2022,2.0,0.0,0.0,0.0,0.0,82.11660198,36612.25,1.0,0.0,0.0,0.0,西直门外大街左侧辅路,75.36491301578283
2032,2022,2.0,0.0,0.0,0.0,0.0,82.33231654,27851.000000000004,1.0,0.0,0.0,0.0,白纸坊西街,75.37531242889166
2033,2022,2.0,0.0,0.0,0.0,0.0,83.08528841000002,26938.8,1.0,0.0,0.0,0.0,农大南路,75.4226770285964
2034,2022,2.0,0.0,0.0,0.0,0.0,83.1120669,31325.99666,1.0,0.0,0.0,0.0,阜通东大街,75.42601429480314
2035,2022,2.0,0.0,0.0,0.0,0.0,82.663994,56649.799999999996,1.0,0.0,0.0,0.0,阜通西大街,75.40708736294508
2036,2022,2.0,0.0,0.0,0.0,0.0,82.15853053,83490.0,1.0,0.0,0.0,0.0,小屯路,75.38504060715437
2037,2022,2.0,0.0,0.0,0.0,0.0,85.31324685,59846.4,1.0,0.0,0.0,0.0,南磨房路,75.57602819240094
2038,2022,2.0,0.0,0.0,0.0,0.0,84.00689858,14208.999999999998,0.0,1.0,0.0,0.0,京原路,80.12601959532499
2039,2022,2.0,0.0,0.0,0.0,0.0,83.40355063,49568.0,0.0,1.0,0.0,0.0,京原路,80.1058967309594
2040,2022,2.0,0.0,0.0,0.0,0.0,84.08832126,17564.0,1.0,0.0,0.0,0.0,西直门内大街,75.48267218822241
2041,2022,3.0,0.0,0.0,0.0,0.0,82.60647343,52980.0,1.0,0.0,0.0,0.0,珠市口东大街,75.44025912725925
2042,2022,3.0,0.0,0.0,0.0,0.0,83.6945593,60398.0,1.0,0.0,0.0,0.0,广渠门内大街,75.51197253465652
2043,2022,3.0,0.0,0.0,0.0,0.0,84.31169592000002,49784.0,1.0,0.0,0.0,0.0,广安门外大街,75.5470847349167
2044,2022,3.0,0.0,0.0,0.0,0.0,82.83738531,121102.9811,1.0,0.0,0.0,0.0,四环路内环辅路,75.48023778015376
2045,2022,3.0,0.0,0.0,0.0,0.0,83.37771045,124789.62330000002,1.0,0.0,0.0,0.0,四环路外环辅路,75.5158652240634
2046,2022,3.0,0.0,0.0,0.0,0.0,84.33928746,45576.0,1.0,0.0,0.0,0.0,车公庄大街,75.54725727063418
2047,2022,3.0,0.0,0.0,0.0,0.0,83.59589959,61099.0,1.0,0.0,0.0,0.0,车公庄西路,75.50598341810704
2048,2022,3.0,0.0,0.0,0.0,0.0,83.80401785,164380.0,1.0,0.0,0.0,0.0,成寿寺路,75.5575763246417
2049,2022,3.0,0.0,0.0,0.0,0.0,85.56673019,142458.1,1.0,0.0,0.0,0.0,永丰路,75.66110011863708
2050,2022,3.0,0.0,0.0,0.0,0.0,83.84349544,16856.2,1.0,0.0,0.0,0.0,香河园路,75.50512310302258
2051,2022,3.0,0.0,0.0,0.0,0.0,84.25637813,22995.0,1.0,0.0,0.0,0.0,香河园路,75.53355840736627
2052,2022,3.0,0.0,0.0,0.0,0.0,82.36818742,10632.0,1.0,0.0,0.0,0.0,雍和宫大街,75.40934923529625
2053,2022,3.0,0.0,0.0,0.0,0.0,84.02895951,32927.1,1.0,0.0,0.0,0.0,崇文门内大街,75.5228801009059
2054,2022,3.0,0.0,0.0,0.0,0.0,82.57918206,43232.0,1.0,0.0,0.0,0.0,崇文门外大街,75.43489633899927
2055,2022,3.0,0.0,0.0,0.0,0.0,78.78242250999999,9662.0,1.0,0.0,0.0,0.0,静安西街,75.18145791453124
2056,2022,3.0,0.0,0.0,0.0,0.0,82.6150884,10913.0,0.0,1.0,0.0,0.0,柳芳北街,80.09009435003995
