道路名称,路龄,车道面积,前一年pci,当年pci,总钱数,道路属性,年份
海淀南路,5,27265,81.33,84.41,66.2053,次干路,2016
苏州街路,10,41524.1,89.7,79.52,67.2014,次干路,2016
海淀南路,6,27265,89.41,91.49,41.6767,次干路,2016
苏州街路,11,41524.1,79.52,95.29,65.6272,次干路,2016
海淀南路,7,27265,91.49,84.08,59.1826,次干路,2016
紫竹院路（车道沟-四季青）,16,68672,81.04,92.5,125.3412,主干路,2016
海淀南路,8,27265,84.08,87.15,37.3213,次干路,2016
苏州街路,13,41524.1,86.86,83.9,44.2427,次干路,2016
紫竹院路（车道沟-四季青）,17,68672,92.5,84.23,74.8534,主干路,2016
紫竹院路（车道沟-四季青）,19,68672,90.96,81.37,17.4841,主干路,2016
苏州街路,14,41524.1,83.8,82.56,15.4357,次干路,2016
海淀南路,9,27265,87.15,84.41,11.4192,次干路,2016
卢沟桥南路,3,38643.82,91.78,94.46,16.2098,主干路,2016
安定门内大街,5,18256.4,82.16,84.41,2.187,次干路,2016
东单北大街,6,21742,80.21,84.09,61.9116,主干路,2016
东四北大街,6,30984,80.9,93.61,50.3775,主干路,2016
东长安街,7,87205.5,94.89,97.43,8.93762,主干路,2016
手帕口北街,7,10658,95.95,83.45,68.7814,主干路,2016
成寿寺路,7,164380,79.29,82.18,375.1894,主干路,2016
万寿路,7,40080,89.9,81.86,0.6435,主干路,2016
东华门大街,8,8744.5,83.6,84.53,0.0823,次干路,2016
安立路,8,242814.25,80.04,84.51,62.5856,主干路,2016
安立路,8,83082.81,79.18,85.58,28.874649,主干路,2016
北辰西路,8,141018.2,85.74,86.72,139.423667,主干路,2016
北辰西路,8,169285.72,78.81,85.56,187.468885,主干路,2016
北土城东路,8,64400,84.08,83.65,19.5781,主干路,2016
大屯路,8,115053.14,96.39,83.67,0,主干路,2016
和平里北街,8,271131.73,81.06,90.81,170.285874,主干路,2016
慧忠路,8,29103,90.28,92.5,85.079618,主干路,2016
机场二通道辅路,8,144684.05,92.7,84.79,128.7457,主干路,2016
姜庄路,8,23324,87.1,84.89,80.6425,主干路,2016
马连洼北路,8,36406.4,89.9,81.86,0,主干路,2016
陶然亭路,8,57151.5,92.58,80.46,240.2361851,主干路,2016
万寿路,8,66248,92.91,85.24,104.1427,主干路,2016
西客站南路,8,130225.25,90.28,82.82,139.276675,主干路,2016
永定门内大姐,9,32927.1,83.72,82.61,25.0423,主干路,2016
张仪村路,9,34010,81.55,84.34,51.3123,主干路,2016
崇文门内大街,9,61987,89.8,83.69,30.6125,主干路,2016
地安门东大街,9,28800,84.81,89.56,142.2752,主干路,2016
地安门西大街,9,54746,82.81,84.5,21.4216,主干路,2016
东大桥路,9,65126.4,81.79,84.91,5.5844,主干路,2016
东四十条,9,36000,90.97,81.45,4.517299,主干路,2016
东直门外大街,9,26725.2,92.03,94.82,42.9201,主干路,2016
丰葆路,9,49784,85.74,78.94,39.2291,主干路,2016
工人体育场东路,9,20521.9,61.5,79.14,3.6417,主干路,2016
广安门外大街,9,38376,82.75,82.41,5.514526,主干路,2016
惠新东街,9,31120,89.26,81.71,189.4077,主干路,2016
蒲黄榆路,9,14882.9,87.96,74.9,22.2034,主干路,2016
太平街,9,20676.6,85.32,89.02,0.2095,主干路,2016
天桥南大街,9,52912,88.65,83.17,75.212214,主干路,2016
樱花园西街,9,27633.8,91.53,80.36,27.1014,主干路,2016
中关村北大街,9,14820,95.77,93.6,0,主干路,2016
羊坊店路,9,31549,84.26,83.47,108.8887,次干路,2016
安翔北路,9,34094.63,77.06,88.05,96.134347,主干路,2016
南新华街,10,12530,86.65,94.9,0.0591,主干路,2016
辛店路（辛店村路东延）,10,37538.5,83.73,84.38,61.0291,主干路,2016
北京站前街,10,43232,78.97,84.37,72.926,主干路,2016
崇文门东大街,10,52439,86.27,88.89,75.3114,主干路,2016
崇文门外大街,10,64748,83.64,84.28,52.8676,主干路,2016
亮马桥路,10,30857,92.34,81.61,115.1512,主干路,2016
天坛东路,10,16577,73.26,70.43,0.8567,主干路,2016
右安门内大街,10,30698,80.6,81.6,14.8776129,主干路,2016
北纬路,10,19717.8,91.87,84.26,24.6531652,次干路,2016
方庄路,10,39434.5,90.35,80.73,30.820315,次干路,2016
芳古路,10,23384.2,83.2,91.53,0.1365,次干路,2016
卢沟桥路,10,44090,83.12,84.81,46.2282,次干路,2016
新源南路,10,50940,87.05,86.95,20.0268,次干路,2016
松榆南路,10,33134.2,74.8,81.77,2.2068,主干路,2016
太平桥大街,10,33910,90.74,82.13,1.1215,主干路,2016
西大望路,11,27311.25,83.49,94.95,0.115206,主干路,2016
赵登禹路,11,112338,90.81,76.45,114.0465,主干路,2016
奥林东路,11,70854.5,99.01,78.72,23.035392,主干路,2016
玲珑路,11,334809,76.97,79.71,134.173867,主干路,2016
马家堡西路,11,25356,86.52,82.97,0,主干路,2016
南苑路,11,131269.75,86.33,82.72,205.058942,主干路,2016
宣武门内大街,12,21450,83.49,94.95,14.720505,主干路,2016
玉泉路,12,23520.8,90.81,76.45,12.995529,主干路,2016
京承联络线主路,12,83490,99.01,78.72,216.940032,快速路,2016
京承路左侧辅路,12,7220,76.97,79.71,24.2917,主干路,2016
小屯路,12,142458.1,86.52,82.97,6.0355,主干路,2016
辛店村立交道路,13,27851,88.94,78.2,107.9347,主干路,2016
永丰路,13,402177.1,80.62,84.05,406.0825,主干路,2016
白纸坊西街,13,57311,89.34,79.68,0.7362,主干路,2016
朝阳北路,13,67534.6,90.45,79.95,74.70062,主干路,2016
首体南路,14,16775,90.32,88.16,41.1328,主干路,2016
万丰路,14,35310,84.41,91.12,1.9911,主干路,2016
东大街（丰台东大街）,14,41920,85.72,78.56,54.4356,主干路,2016
宣武门外大街,14,17186,100,91.17,0.2532,主干路,2016
远大路,15,22678.5,79.37,79.51,4.145475,主干路,2016
交道口南大街,15,24552,84.86,76.98,6.572635,次干路,2016
西直门北大街右侧辅路,15,60398,81.36,84.05,36.7963,主干路,2016
西直门北大街左侧辅路,15,25444,94.04,81.78,2.1965,主干路,2016
广渠门内大街,15,9518,72.51,67.26,1.991832,主干路,2016
骡马市大街,15,15000,75.72,87.5,15.261013,主干路,2016
