道路名称,路龄,车道面积,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,当年pci,道路属性,年份
2009,1,20521.9,0,0.1452,0,0,87.65,89.85,主干路,2022
2010,1,45337.21212,0,0.57,0,0,88.38,86.96,主干路,2022
2011,1,45337.21212,0,0.08,0,0,82.77,87.18,主干路,2022
2012,1,112080,0,0,0,0,88.18,95.27,次干路,2022
2013,1,118955,0,2.432619,0,0,94.27,94.15,主干路,2022
2014,1,118955,0,2.81685,0,0,96.12,92.36,主干路,2022
2015,1,90620,0,1.189196,0,0,82.23,93.48,主干路,2022
2016,1,66248,0,0.094572,0,0,92.5,99.08,主干路,2022
2017,1,59296,0,2.0570076,0,0,96.84,88.68,主干路,2022
2018,1,31549,0,0.222888,0,0,92.98,98,主干路,2022
2019,1,21006,0,0,0,0,90.42,91.9,次干路,2022
2020,1,121256.7779,0,0.2099,0,0,94.55,81.5,主干路,2022
2021,1,37084,0,0.16036,0,0,90.56,91,次干路,2022
2022,1,82351.8,0,0,0,0,90.56,96.58,主干路,2022
2023,1,21742,0,0,0,0,87.18,85.28,主干路,2022
2024,1,16694.5,0,0,0,0,99.69,95.78,主干路,2022
2025,1,30984,0,0,0,0,97.17,93.88,主干路,2022
2026,2,86502.12939,0,1.386903,0,0,89.64,87.65,主干路,2022
2027,2,89135.44523,0,2.919185,0,17.421879,87.36,88.38,主干路,2022
2028,2,22945,0,0.0444,0,0,87.16,82.77,次干路,2022
2029,2,37965,0,0.080808,0,0,93.14,88.18,次干路,2022
2030,2,31555,0,0.296455,0,0,90.29,94.27,主干路,2022
2031,2,36612.25,0.8874,0.820157,0,0.372092,82.81,96.12,主干路,2022
2032,2,27851,0,0,0,0,83.89,82.23,主干路,2022
2033,2,26938.8,0,0.1477,0,0,86.92,92.5,主干路,2022
2034,2,31325.99666,8.63249093,0,0,0,86.92,96.84,主干路,2022
2035,2,56649.8,0,0,0,0,84.51,92.98,主干路,2022
2036,2,83490,16.44199206,1.068175,0,0,81.82,90.42,主干路,2022
2037,2,59846.4,0,0.2276,0,0,95.01,94.55,主干路,2022
2038,2,14209,0,0.0598718,0,0,90.7,90.56,次干路,2022
2039,2,49568,0,0,0,0,87.55,90.56,次干路,2022
2040,2,17564,0,0.01887,0,0,91.14,87.18,主干路,2022
2041,3,52980,0,0.164613,0,0,85.01,99.69,主干路,2022
2042,3,60398,0,0.140748,0,0,89.17,97.17,主干路,2022
2043,3,49784,0,2.219778,0,0,91.88,89.64,主干路,2022
2044,3,121102.9811,17.1599,2.973834,108.9,0,84.27,87.36,主干路,2022
2045,3,124789.6233,9.9533,1.269165,0,0,86.35,87.16,主干路,2022
2046,3,45576,0.15,0.362304,0,12.69,92.09,93.14,主干路,2022
2047,3,61099,0,1.51287,0,0,88.76,90.29,主干路,2022
2048,3,164380,0,1.872459,0,0,87.11,82.81,主干路,2022
